code,profit,factors,regime,entry_day,exit_day,entry,exit
4063.T,-0.0182925727117996,"{'score': 72.6579906901683, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 98.0}",BULL,,,,
6501.T,-0.0543734131344256,"{'score': 72.70814145790733, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 99.0}",SIDE,,,,
2914.T,-0.0871794617937085,"{'score': 52.70903337812412, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 60.0, 'order_score': 94.0}",BULL,,,,
8058.T,-0.0939720097522863,"{'score': 52.9598698020245, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 65.0, 'order_score': 94.0}",BULL,,,,
8035.T,-0.0669694210669355,"{'score': 54.608298713340226, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 97.0}",BULL,,,,
7203.T,-0.0420559444954287,"{'score': 99.29987641667195, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 96.0}",BULL,,,,
8306.T,-0.0200001367119207,"{'score': 97.34197901030521, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 65.0, 'order_score': 82.0}",BEAR,,,,
6501.T,-0.0232292949343558,"{'score': 99.34642697527593, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 97.0}",SIDE,,,,
7203.T,-0.0044711729600994,"{'score': 54.515660074478006, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,,,,
4063.T,-0.0099172610475946,"{'score': 52.60786965026658, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 82.0}",BEAR,,,,
4063.T,-0.0288922817916619,"{'score': 72.58115355290182, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,,,,
8035.T,-0.0792208249306433,"{'score': 53.30387654771435, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 94.0}",BULL,,,,
7203.T,-0.0103450213330669,"{'score': 53.974976471468835, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 85.0, 'order_score': 92.0}",BULL,,,,
2914.T,-0.0601089476754033,"{'score': 90.51623071058036, 'institution_hold': True, 'flow_score': 90.0, 'pressure_score': 90.0, 'order_score': 100.0}",BEAR,,,,
7203.T,-0.037643119039026,"{'score': 72.80844299338538, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 100.0, 'order_score': 96.0}",SIDE,,,,
8058.T,-0.0770645871878347,"{'score': 72.4573876192122, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 94.0}",BULL,,,,
4063.T,-0.0182926389230703,"{'score': 72.6579906901683, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 98.0}",BULL,,,,
6501.T,-0.0543734021542898,"{'score': 72.70814145790733, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 99.0}",SIDE,,,,
2914.T,-0.0871797831150102,"{'score': 52.70903337812412, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 60.0, 'order_score': 94.0}",BULL,,,,
8058.T,-0.0939714244456805,"{'score': 52.9598698020245, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 65.0, 'order_score': 94.0}",BULL,,,,
8035.T,-0.0669692299099381,"{'score': 54.608298713340226, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 97.0}",BULL,,,,
7203.T,-0.0420560250676202,"{'score': 99.29987641667195, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 96.0}",BULL,,,,
