code,factors,profit,regime
9432.T,"{'market': 69.59308872802103, 'tech': 43.71, 'news': 0.0, 'inst': 50.0, 'future': 38.64362909340341}",0,SIDE
9984.T,"{'market': 50.47118751298286, 'tech': 91.97, 'news': 0.0, 'inst': 90.0, 'future': 41.57062504327619}",0,BEAR
8306.T,"{'market': 55.76585635180443, 'tech': 36.32, 'news': 0.0, 'inst': 50.0, 'future': 12.552854506014771}",0,SIDE
6758.T,"{'market': 4.12832696563413, 'tech': 30.79, 'news': 0.0, 'inst': 60.0, 'future': 7.094423218780431}",0,BEAR
6758.T,"{'market': 4.614244174087236, 'tech': 27.76, 'news': 0.0, 'inst': 60.0, 'future': 8.71414724695745}",0,BEAR
8306.T,"{'market': 55.118306685963816, 'tech': 36.38, 'news': 0.0, 'inst': 50.0, 'future': 10.39435561987939}",0,SIDE
9984.T,"{'market': 49.03066968539366, 'tech': 61.21, 'news': 0.0, 'inst': 100.0, 'future': 36.768898951312195}",0,BEAR
9432.T,"{'market': 69.59308872802103, 'tech': 43.47, 'news': 0.0, 'inst': 50.0, 'future': 38.64362909340341}",0,SIDE
7203.T,"{'market': 58.30461878237919, 'tech': 34.76, 'news': 0.0, 'inst': 50.0, 'future': 34.3487292745973}",0,BEAR
8306.T,"{'market': 55.57670096646968, 'tech': 36.44, 'news': 0.0, 'inst': 50.0, 'future': 11.922336554898926}",0,SIDE
7203.T,"{'market': 58.82935740584204, 'tech': 37.8, 'news': 0.0, 'inst': 50.0, 'future': 36.09785801947346}",0,BEAR
9984.T,"{'market': 59.733496462692706, 'tech': 86.8, 'news': 0.0, 'inst': 70.0, 'future': 39.111654875642344}",0,BEAR
6758.T,"{'market': 5.045392779980009, 'tech': 27.74, 'news': 0.0, 'inst': 50.0, 'future': 10.15130926660003}",0,BEAR
9432.T,"{'market': 75.10724456449691, 'tech': 100.0, 'news': 0.0, 'inst': 75.0, 'future': 40.35748188165634}",0,SIDE
9984.T,"{'market': 59.353018004910936, 'tech': 46.37, 'news': 0.0, 'inst': 50.0, 'future': 37.84339334970312}",0,BEAR
7203.T,"{'market': 59.37351777799837, 'tech': 86.9, 'news': 0.0, 'inst': 60.0, 'future': 37.91172592666125}",0,BEAR
6758.T,"{'market': 5.5753077137632445, 'tech': 27.74, 'news': 0.0, 'inst': 50.0, 'future': 11.917692379210814}",0,BEAR
8306.T,"{'market': 68.11433496554173, 'tech': 58.64, 'news': 0.0, 'inst': 60.0, 'future': 33.71444988513908}",0,SIDE
9432.T,"{'market': 69.61049649234856, 'tech': 43.42, 'news': 0.0, 'inst': 50.0, 'future': 38.7016549744952}",0,SIDE
