Time,Code,Price,NewsScore
2026-04-19 00:37:26.619236,2003.T,1833.0,0
2026-04-19 00:38:30.357950,2158.T,856.0,0
2026-04-19 00:38:34.023430,2411.T,493.0,0
2026-04-19 00:38:37.754203,3848.T,973.0,0
2026-04-19 00:38:41.477050,1992.T,2795.0,0
2026-04-19 00:38:45.181563,2134.T,33.0,0
2026-04-19 00:38:48.880809,3191.T,2216.0,0
2026-04-19 00:38:52.644440,3691.T,1571.0,0
2026-04-19 00:38:56.317361,2884.T,739.0,0
2026-04-19 00:38:59.962327,1914.T,716.0,0
2026-04-19 00:39:03.690635,2003.T,1833.0,0
2026-04-19 00:40:07.653641,2158.T,856.0,0
2026-04-19 00:40:11.249110,2411.T,493.0,0
2026-04-19 00:40:14.907249,3848.T,973.0,0
2026-04-19 00:40:18.533288,1992.T,2795.0,0
2026-04-19 00:40:22.267054,2134.T,33.0,0
2026-04-19 00:40:25.961229,3191.T,2216.0,0
2026-04-19 00:40:29.628874,3691.T,1571.0,0
2026-04-19 00:40:33.241031,2884.T,739.0,0
2026-04-19 00:40:36.906328,1914.T,716.0,0
2026-04-19 00:40:40.658053,2003.T,1833.0,0
2026-04-19 00:41:44.615661,2158.T,856.0,0
2026-04-19 00:41:48.233209,2411.T,493.0,0
2026-04-19 00:41:51.920190,3848.T,973.0,0
2026-04-19 00:41:55.642210,1992.T,2795.0,0
2026-04-19 00:41:59.307290,2134.T,33.0,0
2026-04-19 00:42:03.066830,3191.T,2216.0,0
2026-04-19 00:42:06.704678,3691.T,1571.0,0
2026-04-19 00:42:10.972662,2884.T,739.0,0
2026-04-19 00:42:14.822077,1914.T,716.0,0
2026-04-19 00:42:18.433453,2003.T,1833.0,0
2026-04-19 00:43:22.053221,2158.T,856.0,0
2026-04-19 00:43:25.806763,2411.T,493.0,0
2026-04-19 00:43:29.495305,3848.T,973.0,0
2026-04-19 00:43:33.106613,1992.T,2795.0,0
2026-04-19 00:43:36.819083,2134.T,33.0,0
2026-04-19 00:43:40.412797,3191.T,2216.0,0
2026-04-19 00:43:44.122740,3691.T,1571.0,0
2026-04-19 00:43:47.787395,2884.T,739.0,0
2026-04-19 00:43:51.556787,1914.T,716.0,0
2026-04-19 00:43:55.300355,2003.T,1833.0,0
2026-04-19 00:44:59.195194,2158.T,856.0,0
2026-04-19 00:45:03.077120,2411.T,493.0,0
2026-04-19 00:45:06.690128,3848.T,973.0,0
2026-04-19 00:45:10.426450,1992.T,2795.0,0
2026-04-19 00:45:14.081193,2134.T,33.0,0
2026-04-19 00:45:17.782193,3191.T,2216.0,0
2026-04-19 00:45:21.779384,3691.T,1571.0,0
2026-04-19 00:45:25.384211,2884.T,739.0,0
2026-04-19 00:45:29.105724,1914.T,716.0,0
2026-04-19 00:45:32.777138,2003.T,1833.0,0
2026-04-19 00:46:36.619241,2158.T,856.0,0
2026-04-19 00:46:40.335847,2411.T,493.0,0
2026-04-19 00:46:43.923468,3848.T,973.0,0
2026-04-19 00:46:47.531644,1992.T,2795.0,0
2026-04-19 00:46:51.240071,2134.T,33.0,0
2026-04-19 00:46:54.904085,3191.T,2216.0,0
2026-04-19 00:46:58.529016,3691.T,1571.0,0
2026-04-19 00:47:02.701448,2884.T,739.0,0
2026-04-19 00:47:06.423449,1914.T,716.0,0
2026-04-19 00:47:10.046872,2003.T,1833.0,0
2026-04-19 00:48:13.887241,2158.T,856.0,0
2026-04-19 00:48:17.592036,2411.T,493.0,0
2026-04-19 00:48:21.204089,3848.T,973.0,0
2026-04-19 00:48:24.959826,1992.T,2795.0,0
2026-04-19 00:48:28.647284,2134.T,33.0,0
2026-04-19 00:48:32.495279,3191.T,2216.0,0
2026-04-19 00:48:36.267829,3691.T,1571.0,0
2026-04-19 00:48:40.145182,2884.T,739.0,0
2026-04-19 00:48:44.040222,1914.T,716.0,0
2026-04-19 00:48:48.011079,2003.T,1833.0,0
2026-04-19 00:49:51.981825,2158.T,856.0,0
2026-04-19 00:49:55.736385,2411.T,493.0,0
2026-04-19 00:49:59.490688,3848.T,973.0,0
2026-04-19 00:50:03.246172,1992.T,2795.0,0
2026-04-19 00:50:06.972813,2134.T,33.0,0
2026-04-19 00:50:10.648776,3191.T,2216.0,0
2026-04-19 00:50:14.292432,3691.T,1571.0,0
2026-04-19 00:50:18.068509,2884.T,739.0,0
2026-04-19 00:50:21.787771,1914.T,716.0,0
2026-04-19 00:50:25.531886,2003.T,1833.0,0
2026-04-19 00:51:29.339666,2158.T,856.0,0
2026-04-19 00:51:32.916416,2411.T,493.0,0
2026-04-19 00:51:36.575555,3848.T,973.0,0
2026-04-19 00:51:40.190939,1992.T,2795.0,0
2026-04-19 00:51:44.122677,2134.T,33.0,0
2026-04-19 00:51:47.766362,3191.T,2216.0,0
2026-04-19 00:51:51.494346,3691.T,1571.0,0
